fold,median_savings_bps,mean_savings_bps,win_rate_vs_twap,agent_sf_median_bps,twap_sf_median_bps,n_episodes
0,-1.0508985723044173,-1.033045824136252,0.44,4.216842947355244,4.514563608953093,100
1,-7.0603523028012205e-12,-3.882855905295092,0.38,1.789341367932445,-0.2931029316694097,100
2,0.9967279556581723,0.43801892001553244,0.54,2.383200935272633,2.1042622134522713,100
3,0.5220147383789051,0.6527778941861753,0.55,-4.342616874377367,-3.309489657085745,100
