fold,seed,return_pct,sharpe,max_dd_pct,n_trades
0,0,19.893434599999793,1.4147460311764117,8.50145647979157,17
0,1,-11.63000560000148,-0.29418432907449177,23.19541913310121,100
0,2,-11.08040500000056,-0.705583422245422,14.492302884205271,34
0,3,15.687784299999151,0.7091734169600366,19.041908103314135,64
0,4,-3.913918300000785,-0.046263734262336965,17.521104781084485,77
0,5,9.574530299999196,0.5065221150709791,17.47878686617085,59
0,6,-40.28529920000041,-2.8765258279825177,40.448868293458766,53
0,7,-3.643458000000954,-0.01121621733878495,27.26003252097454,85
0,8,-28.7710361000011,-1.0689951403294518,33.42713190547105,92
0,9,42.9936803999992,1.4387632975692461,15.976262806668814,76
0,10,-29.359399600001147,-1.0093812712844554,33.59352934617886,98
0,11,0.8502713999986478,0.16083758385302338,29.92755747102338,106
0,12,29.24054849999955,1.233808706805035,16.08004491705363,54
0,13,5.098561399999779,0.5087597380877243,5.588698703416814,15
0,14,-18.981296400001447,-0.7034409663700697,30.866717392100245,92
0,15,-4.266613700000777,-0.1022216875053006,17.435576037356885,62
0,16,10.959896899999721,0.7208961505500042,14.060298982716397,24
0,17,-2.8952680000003284,-0.13791030999085027,15.371840065229003,29
0,18,9.285461999999956,1.161024607359914,6.243490015343941,7
0,19,-13.937580900000835,-0.4892747374138577,23.929929195420364,60
0,20,7.460973199999921,0.6628248378210709,10.060193834199769,11
0,21,-10.250880000001494,-0.23172045367698102,30.519704844781938,110
0,22,-0.12472630000093243,0.11823472950831677,24.458257765987607,78
0,23,-0.9706097000003688,-0.01734875023074517,8.157985910700265,28
0,24,-12.6029787000007,-0.5908951535248896,20.495654270299678,49
0,25,21.15392059999961,1.0899773240232937,10.253307697055066,37
0,26,-2.217754500000868,0.007350462416018448,23.445517017523873,62
0,27,-3.784407200000406,-0.1316449800608514,19.490879404733104,37
0,28,23.46015089999969,1.4122705325097094,11.18942761256267,27
0,29,-22.11934030000101,-0.8009391532277224,29.983052941282303,79
0,30,8.93133639999899,0.432503065605215,27.95970442183289,86
0,31,21.788095799999297,0.9521927955470784,18.211749573839338,51
1,0,-26.120973100001,-1.029702152924517,35.791054759598055,120
1,1,-23.651080500000667,-0.8431086101491223,35.508504134943905,96
1,2,7.0060918999995,0.434962174237552,16.15930500352525,43
1,3,-7.022782600001465,-0.12335383420809459,19.510642776627122,106
1,4,-6.612933400001397,-0.13448732942951291,28.065767045120428,96
1,5,-2.1155718000013035,0.04955504847889799,25.99646798657146,103
1,6,11.848667899999011,0.5281318704461752,21.53000306314286,91
1,7,-5.7176245000011505,-0.07336263300134371,24.747774139778844,95
1,8,17.01261609999922,0.7039893302558824,14.608097762447416,77
1,9,6.74191489999989,0.5993622079693333,9.746471816897746,14
1,10,4.108241699999571,0.3149091292228568,16.695738380240204,36
1,11,-5.996586800001291,-0.0815313308543627,27.622742867759385,93
1,12,-7.22761500000082,-0.2160355369415922,19.089477700000327,62
1,13,9.329477099998872,0.4692291067360554,20.81784216447369,79
1,14,-24.079451500000847,-0.8201805818734421,45.35917053823758,99
1,15,11.877297199999148,0.5251161722097734,24.633477954122405,84
1,16,5.020694699999595,0.36374560014747975,21.457609736419485,35
1,17,-12.680117100001064,-0.4193859060022071,30.150383030276164,78
1,18,3.491781699999885,0.3499079477062523,9.939870648068682,10
1,19,-22.523920300001087,-0.7359453926734072,39.73224894467546,99
1,20,5.170546999999037,0.3065251655989399,17.157286223024173,79
1,21,27.692798199999412,1.2551248980519514,15.65477256382724,52
1,22,32.21334899999846,1.0590087068884386,19.08353620504471,102
1,23,-5.208520000000549,-0.2051911157927992,18.58318757782087,43
1,24,-10.708831100000749,-0.39773245058539763,25.7976122315617,65
1,25,-6.901417000001253,-0.1278560500618969,30.5670106639733,89
1,26,-28.447679700000993,-1.0565539739774892,40.23046972361724,108
1,27,-1.7362661000014823,0.0725771911929805,21.253561063277107,107
1,28,9.725804799998915,0.4690075763066466,20.089028928285703,74
1,29,-0.5265396000007194,0.09839725941925931,30.690709510363735,81
1,30,-34.10548530000121,-1.422715574726397,41.49396064495488,131
1,31,10.958113199998287,0.5050994472170598,24.21542776378516,116
2,0,52.83556759999828,1.5713710453823924,14.612689512971876,117
2,1,4.770828999999854,0.4249286239579164,12.65549242095484,15
2,2,-40.009956600000805,-2.7104202209490253,45.4015243985301,68
2,3,-1.9249011000013527,0.02964258321469674,18.89312522181522,85
2,4,43.28303689999971,2.656997822569007,12.692893769104735,28
2,5,4.095586399999429,0.3456315369136633,12.159550736414362,30
2,6,61.47629739999905,1.9782792457363847,14.062797449759485,80
2,7,-25.890846600001126,-1.172611833527084,32.764996505519,83
2,8,-4.65826450000052,-0.17522867105979348,27.585300739697537,46
2,9,-7.6895517000013625,-0.16753739077284455,28.27633041844569,104
2,10,135.83081049999817,3.0194658177468328,16.418301636735837,115
2,11,8.564734499999304,0.5312306812689898,22.403969225635745,42
2,12,36.21799609999891,1.3515187895768437,16.203226320679093,80
2,13,5.0492565999989525,0.30345842133195433,30.17680154879137,91
2,14,-24.75243480000111,-1.3611187300504355,35.01435175231122,83
2,15,11.838912699998772,0.5303246686574714,31.132577652370692,97
2,16,-6.687852500001212,-0.15273418924005555,21.0271274477029,92
2,17,9.088113699999155,0.5066709574242039,13.780325096548498,51
2,18,19.574899899999608,1.3772204027259303,11.819393660364737,26
2,19,-6.601378900001109,-0.1971395482147446,20.52536219010043,71
2,20,-40.04825820000131,-2.432286049431676,46.71334169742281,104
2,21,8.400434999999561,0.5989702409564229,11.202266009233657,28
2,22,5.2990240999981175,0.3067751693356253,26.41259481083625,115
2,23,-0.6137537000015292,0.09925375598079837,22.28832370257392,102
2,24,-5.8581451000012,-0.12326014741417225,27.13649075280791,92
2,25,7.74243479999992,0.9450284166123827,8.254681119701518,8
2,26,-40.04022860000182,-2.0891367564485908,44.96066304038279,147
2,27,-1.906744600001109,-0.0009688516344405417,21.081942552326947,68
2,28,8.162625499999198,0.46954097081936635,14.357947317943404,54
2,29,-27.164926900001152,-1.1713503083741903,37.796698520123805,115
2,30,5.780785199998695,0.3408356117766241,20.15486343939064,82
2,31,88.53191069999882,2.3467664196150664,14.480914964455705,108
3,0,5.831671200000521,0.31793957882633306,37.01325715506196,208
