fold,seed,train_sharpe,val_sharpe,val_return_pct,return_pct,sharpe,max_dd_pct,n_trades
0,0,0.8864981764243886,,,3.131179099998538,0.2273284753277388,24.149647238433325,120
0,1,1.1452584557091152,,,-17.59839080000184,-0.5393379374384629,23.952340230674814,122
0,2,-0.19181272233720142,,,-8.912196400001736,-0.19363145489291725,23.95496609293093,118
0,3,0.4617551165875276,,,-21.127929000001355,-0.6849896746366693,28.496913545591735,123
0,4,-0.12559033995155305,,,9.370621099998244,0.4278918214026035,18.23944744034907,117
0,5,0.4390499488282761,,,-0.49863070000164544,0.10256435678504142,18.723709375854476,117
0,6,-0.20973580187227425,,,6.570091299998304,0.33999471245787505,19.086381916229982,112
0,7,0.030262196134450026,,,-11.54378510000208,-0.2923247206523854,22.930485237990094,138
0,8,0.8921598695458507,,,-12.385599700001926,-0.3295911271444258,19.345723780011678,131
0,9,0.3444106302914537,,,-38.039523500000946,-1.5540721966668494,38.97173031937253,127
0,10,-0.1136577611458764,,,0.43193879999845475,0.1360116351980456,17.607440354570635,106
0,11,0.31264374597372424,,,8.315549999998506,0.3923019795859742,17.057916763995195,110
0,12,0.4971025973558712,,,24.187216699998526,0.8534061859395577,19.397342000935943,103
0,13,0.3612276168181929,,,-9.14473370000185,-0.20254924962367737,22.692015266799906,125
0,14,0.0858549680394769,,,-9.732244200001915,-0.22553004715402325,27.901140183694405,134
0,15,0.60623095940194,,,2.812977199998312,0.2163900118651474,24.277056758021647,124
0,16,0.44428578402173813,,,-10.129585200001824,-0.23890509632777665,23.996845103052028,120
0,17,0.7974124907740807,,,-0.6656893000018482,0.09852204722764966,15.358155004896417,117
0,18,-0.07379421149066244,,,-4.296085500001445,-0.02601004739849976,21.586035409125866,105
0,19,0.7443289989305163,,,-27.76192550000145,-1.0072267220613518,28.848760680605206,115
0,20,0.40525316899828406,,,-5.307932200001176,-0.0643213688695657,30.348568121937664,115
0,21,0.08357010140003629,,,-6.687656300001821,-0.11761140930292108,24.927319100736607,127
0,22,0.4311801672661671,,,-25.581308000001236,-0.8737120263424369,30.348568121937664,125
0,23,0.9100174477041945,,,-10.686627600001575,-0.26144721634268847,28.822276526064663,122
0,24,0.855895735255698,,,-8.08680920000182,-0.16739575452061875,20.999634460439225,119
0,25,0.46967813598559666,,,-5.73919840000211,-0.07724870204055807,18.386721627145793,132
0,26,0.6828174340232943,,,-16.595975800002016,-0.48901339939728133,27.274220580631255,137
0,27,0.29689420893701896,,,4.068374799997931,0.25796178687567184,20.5611469798828,134
0,28,0.04378171063103732,,,30.006688699998318,1.0415216169270167,17.952873851912383,110
0,29,0.44042734665204236,,,-37.69477810000096,-1.4853323655075907,40.51318401418427,126
0,30,0.6970147605740473,,,14.009776399997964,0.5653701411578358,16.49625483449151,135
0,31,0.2014168495289431,,,0.6707591999982832,0.14581647489932276,21.81907542291526,120
1,0,-0.3262966551973981,,,18.652756899998657,0.7277039665406791,18.82413470406444,96
1,1,-0.7705397653925756,,,7.59682739999874,0.373211401427351,18.647845752535257,91
1,2,0.021646585638367518,,,-1.5750449000013766,0.0577817182617707,15.210798414145819,99
1,3,-0.015029494636023448,,,31.458326199999064,1.2042190207280234,16.610151659866542,66
1,4,0.2533006364339064,,,-16.528798900001608,-0.4913062083159316,26.747934691494198,99
1,5,-0.17224233313551973,,,-7.729867600001105,-0.1462065417364388,27.047386094395648,96
1,6,-0.5485741279206742,,,11.974943399998295,0.5175407565584067,21.31164046158815,108
1,7,-0.9791932912230068,,,-17.90915070000265,-0.5622440146256296,25.56656845890202,151
