fold,seed,return_pct,sharpe,max_dd_pct,n_trades
0,0,50.330546875,1.0866222926774143,24.39054691661382,140
0,1,-36.5301220703125,-0.9734674858184718,48.14373701377251,144
0,2,61.14788085937499,1.2834936066155684,24.087945083976418,129
1,0,235.5208984375,2.4519434295161995,20.239203204088263,272
1,1,-30.857094726562494,-0.6158018691604278,40.270342304006036,251
1,2,-40.0695654296875,-2.285386208774572,40.77481362799253,86
