fold,seed,return_pct,sharpe,max_dd_pct,n_trades
0,0,-15.37719830000116,-0.3943865878005497,35.916839703077365,106
0,1,-2.0067230000010428,0.06568334581194918,25.745260109393325,96
0,2,-22.734690000000622,-1.1059333274717715,26.171215874803057,58
1,0,-18.072935600001095,-0.5353925884662635,38.381693744617664,116
1,1,1.8051000999988798,0.19108778045455596,26.805147320087723,108
1,2,33.377515999999076,1.134680082860551,19.658473072612914,95
2,0,-40.1323991000011,-2.0135414408395196,47.266842057467514,103
2,1,10.945503699997627,0.4901700897352325,16.84409960446029,132
2,2,78.77619579999835,2.165339473022592,13.69024973156472,121
3,0,-40.08363660000101,-2.0269307674733925,49.12932674267806,134
3,1,96.35175050000085,2.606590353503719,15.883985817791718,117
3,2,-1.6856970999997611,0.0017264419560255667,14.00847337257909,48
