fold,seed,return_pct,sharpe,max_dd_pct,n_trades
0,0,-3.1015457000021174,0.03729899952504108,24.458141801962668,147
0,1,-12.754765700001258,-0.30336416766514396,32.64741213567607,105
0,2,-3.280877800000326,-0.1685197586035435,11.583905000000195,25
1,0,9.95619089999844,0.4452764638778715,21.24894539929984,116
1,1,-18.072935600001095,-0.5353925884662635,38.381693744617664,116
1,2,-7.076190400001137,-0.17823610760512115,23.123444979995565,85
2,0,88.06969949999875,2.262305240962808,14.369824285260336,109
2,1,-40.034522700001084,-2.0522401994575494,47.18062962231969,103
2,2,73.56939499999548,2.144612759574338,14.238779949512717,262
3,0,95.69390110000056,2.0135670895236086,21.028255657583887,174
3,1,-40.01251640000045,-2.7649492100927207,48.46949615653113,98
3,2,31.190991400000346,1.2246006160603573,15.70018737131506,87
