fold,seed,train_sharpe,return_pct,sharpe,max_dd_pct,n_trades
0,0,0.9211636801208639,-12.416415800002401,-0.33716314779333373,19.797746620374287,140
0,1,1.240701440905277,-18.372909300002327,-0.5804016805620031,27.57281835764216,134
0,2,0.27609608607739766,13.441280999998128,0.5542301922908257,15.031365886090134,121
0,3,0.550203322118213,-8.73581140000217,-0.19516911348813015,17.114029203911322,127
0,4,0.016553912763357805,-2.1189535000025184,0.04495012250068019,21.102914284307843,141
0,5,0.6032176049606881,3.701259299998272,0.24609800093385237,17.422029090753007,118
0,6,-0.12520239891333004,-8.714956400002194,-0.1969962732482748,18.826538180279094,131
0,7,0.23044876193721708,-20.074634900002287,-0.6310193584388154,22.770055900000578,144
0,8,0.9738487658771658,-14.845686800002845,-0.463695073490753,17.014284779514853,142
0,9,0.41589533074381424,-26.674481200001978,-0.9421181740473894,33.6627526532229,157
0,10,0.2449767736469047,-0.23064170000265394,0.10999754543411087,24.260802829100307,150
0,11,0.42212765277277703,-22.215099700002206,-0.7332389443967684,23.38538789983227,136
0,12,0.6508514532445859,0.02261839999793125,0.12363347727251056,19.196293713526494,132
0,13,0.3609712725769763,8.030747799997616,0.3849502415534727,21.2025153776078,152
0,14,-0.24946110779984476,-14.31616080000262,-0.402822072055392,19.04944276181471,146
0,15,0.786146094984366,-16.229562200002857,-0.502114427312712,20.07681712141145,153
0,16,0.6460699009543599,-14.282325800002038,-0.40994456626960024,20.492090991231667,125
0,17,1.1518409369773484,-28.164278400002086,-1.12337019986388,28.864241459603022,124
0,18,0.10558540709573268,-24.22878660000256,-0.809257036939407,25.368778508288454,154
0,19,0.9374932889372058,-4.090219600002143,-0.03210635097631422,24.632163010022413,136
0,20,0.4870036176061555,21.028749599998076,0.7833849703505422,15.983508389859457,124
0,21,0.24644527212705244,-26.708744400001184,-0.9592362858404521,31.600191278225747,122
0,22,0.574451208515749,-7.127700500002043,-0.143121446396369,18.750205131624803,121
0,23,1.0980558104887617,-16.772111600001537,-0.5044682730339948,35.237701607939364,141
0,24,0.7974593474705979,15.86786779999796,0.6249203288923773,18.02693047202312,127
0,25,0.495922152155559,-27.006283300002075,-0.9961799957090596,28.104487257149124,138
0,26,1.4526166410540609,-11.443910700001814,-0.30311415571529876,24.216652464926717,120
0,27,0.20381735461256562,0.9416198999979031,0.15285345806614847,19.515468201826003,131
0,28,0.1930509484690668,-1.227463300002296,0.07898117361447357,16.32512350768542,141
0,29,0.71546191774699,-1.5555693000018467,0.06969805322251119,20.643343527616025,115
0,30,0.731943417233815,-18.678432800001854,-0.5820626634196715,28.335754844746898,151
0,31,0.36516656459753205,3.612900199997715,0.24306161735808005,18.003594297112254,146
1,0,-0.31769314028397894,6.41564919999793,0.33796789103756236,23.827953755636642,125
1,1,0.1218771081192904,-10.443658900001774,-0.2740575652103709,34.018695092167775,115
1,2,0.16481636205855782,8.853344899997406,0.42870611455895413,24.431411044736983,133
1,3,0.07828568821385204,12.094268899997719,0.5236535465446472,23.580935054540543,132
1,4,0.3078478994684789,-24.061641900001884,-0.8240777689072327,26.643655519792592,127
1,5,-0.1117131555936599,11.461988499998487,0.49082935974684083,17.687830694486156,105
1,6,-0.4689662850075993,-7.477589900002258,-0.169547526698521,20.581475000746412,133
1,7,-0.8422163231690215,-2.0159602000019317,0.04941923311975951,24.35989005893906,119
