fold,seed,return_pct,sharpe,max_dd_pct,n_trades
0,0,-5.70337590000094,-0.13767321072022398,28.877792076839203,79
0,1,1.7218964999989872,0.1694671966400386,25.900978154740166,74
0,2,17.804210099999175,0.7741222087376148,17.46489100891132,67
0,3,3.5805310999992956,0.24086937950153228,24.381624327121862,79
0,4,-4.61704030000103,-0.09528029403578467,29.109787181450635,77
0,5,0.18491599999892472,0.09875160400125588,21.46130037646671,72
0,6,-8.210139900000812,-0.2592286969699369,28.406782061528435,67
0,7,-10.498064100000825,-0.3330434260857935,34.05600632929612,79
0,8,11.378842399998913,0.524158114231364,22.2778559991459,83
0,9,7.685137799999087,0.40222895422871024,21.9141139973231,74
0,10,-9.585855300001489,-0.33940409821558853,22.55641199242544,90
0,11,-15.425550600001047,-0.60606231360522,32.20966988235568,72
0,12,-6.693879900000899,-0.19227856777287042,27.386355996581695,75
0,13,-1.9546557000005849,0.008469057589310845,26.90782251772082,60
0,14,-3.9134360000009805,-0.08177088648631642,25.139623210774616,69
0,15,8.658143499999182,0.44361684130623147,23.57990042897016,70
0,16,-3.1886614000008584,-0.051982936008029015,24.794767986076014,64
0,17,-9.724573200000941,-0.34946655934263215,23.301106979096232,67
0,18,-17.738474900001002,-0.6790659572602639,24.297301340372034,78
0,19,19.727778099999284,0.8444858224034787,23.33363309340316,71
0,20,17.70314459999922,0.8353178617639054,15.03379289064494,61
0,21,-12.070584700001053,-0.4866445812223404,28.34912839133964,69
0,22,-5.97430840000075,-0.18031055134051976,24.377168854726914,62
0,23,1.8362933999989117,0.17350006401033696,25.61930991238091,80
0,24,-8.9624268000009,-0.3216242841317765,23.976405682391746,67
0,25,14.614225599999076,0.66764576034937,23.568677930340925,72
0,26,8.64129379999914,0.4345279895395062,23.59154419728266,79
0,27,-1.6860767000010268,0.02489971207756538,18.206358608844074,80
0,28,-5.95051390000112,-0.1711553207747521,20.356504460967145,76
0,29,7.725211899999218,0.39554808570253724,27.039035398125378,77
0,30,-8.07749200000093,-0.25014338831506766,26.62488521240877,77
0,31,1.0597668999992038,0.1405713490783636,25.870854829764532,67
1,0,-15.575092600001172,-0.6477526018748198,22.71291688321667,71
1,1,-6.734256600001176,-0.2163909099654096,22.82837419807817,73
1,2,-17.69822050000108,-0.768375052630496,26.226443640869405,65
1,3,15.331143999999174,0.7223891943547338,16.341902748161775,56
1,4,9.202554499998762,0.48677135117068243,12.654148387614924,71
1,5,22.830788599999117,0.984809231614877,12.826976435794313,71
1,6,-1.735210700001022,0.0034303490274735565,23.273357800217248,64
1,7,-9.91376260000112,-0.35567049865253736,20.03076131434319,71
1,8,-7.00975360000119,-0.19399822424457538,23.62336850460853,73
1,9,-7.353895400000887,-0.2757819003201251,25.751036628845767,56
1,10,-7.672590300001081,-0.2465672658423045,21.18838328073333,70
1,11,1.4514318999989895,0.15517603202548813,13.47119214550788,64
1,12,-16.501832600001286,-0.6750157840743412,27.681211496580172,76
1,13,21.986254499999003,0.9802019908759463,15.358466219499633,66
1,14,-11.639301900000898,-0.40548032936493394,33.16779181229842,67
1,15,-2.295377800001064,-0.007795106470895841,18.937562703957532,67
1,16,-4.0047050000012625,-0.08664007797083335,19.227445176071196,76
1,17,-20.778945200000987,-0.8566032812986715,28.343135713572735,74
1,18,-5.866987200001206,-0.17554077712244742,22.37711135923666,72
1,19,-29.322880200000856,-1.3601796490055618,37.19147449224034,72
1,20,-17.816787000000932,-0.6890515910143894,29.64567747592477,71
1,21,-9.000856100001108,-0.33052621621380557,20.58974342972286,72
