fold,seed,train_sharpe,val_sharpe,val_return_pct,return_pct,sharpe,max_dd_pct,n_trades
0,0,0.8144961416068206,,,16.221274199998504,0.6434323772559527,15.14758592499596,109
0,1,1.1719444805705166,,,-13.925298600001968,-0.38156762494579943,20.26936633450889,125
0,2,0.003869512246104085,,,-15.72454100000188,-0.46808811519825,22.523061436557043,121
0,3,0.5535799376612821,,,-18.676339700001577,-0.574954074123226,24.573422373248984,122
0,4,-0.09861818840105799,,,5.191508399998357,0.29419014179726494,15.470788505577662,114
0,5,0.5242817431970225,,,-5.679934900001593,-0.08071083176427458,22.397858077707557,114
0,6,-0.22634654296424775,,,-21.96804290000166,-0.7380992345036472,24.634758562951802,121
0,7,0.03547345900255898,,,-5.370987000001859,-0.06255070507039633,21.164703670602268,126
0,8,0.891266666612484,,,-2.0459437000020064,0.05153704384509078,20.35021836150689,133
0,9,0.4224702699946207,,,-32.82727880000134,-1.2638048732681366,33.83790480411842,132
0,10,0.06300442230299443,,,-4.69349370000155,-0.05578776518434126,17.892015627286213,105
0,11,0.38906173189646315,,,3.414223999998023,0.23662355738918783,19.852689497050175,129
0,12,0.5263333079032266,,,17.835809799998504,0.6956432615286715,15.101019329738474,107
0,13,0.2567801132444127,,,-8.02897500000248,-0.16793787235065405,18.804137391347457,140
0,14,-0.17650538933397117,,,-20.400494200001095,-0.6421990021842561,29.615359286893227,121
0,15,0.5011808729792909,,,-8.607919100001782,-0.18321444104105605,18.295898352663514,117
0,16,0.4347860019223491,,,-15.304148400001905,-0.4513086860328994,23.768657642708025,121
0,17,0.5298482924590341,,,-8.972333700001943,-0.23036031759888048,18.21743287789058,115
0,18,-0.06001543476983936,,,-13.015150800002006,-0.3680277354883641,19.73839550860635,120
0,19,0.6193518372194088,,,-10.32284640000154,-0.24720846879190547,24.975937849351475,122
0,20,0.3435230317960461,,,-11.212061600001288,-0.2736517118237479,30.89171160523037,115
0,21,0.07889485869718564,,,-24.013658500001377,-0.8237905103954587,28.947941001206836,118
0,22,0.49948576547797124,,,-3.3808889000018327,0.0007105705513036336,20.221234246879348,118
0,23,0.7214259547306165,,,-18.18474990000123,-0.5542607505267514,31.63323296643792,120
0,24,0.6751618024161009,,,7.969789599998611,0.39133748849800876,15.429629827938522,99
0,25,0.37671638599649987,,,-5.35313500000213,-0.07388586079396006,18.42840157857903,134
0,26,0.6563526514948276,,,-2.692003700001677,0.023816717533961564,24.54967629460067,122
0,27,-0.1218168048747098,,,-2.0691889000019947,0.050308350220377954,20.1549837388168,133
0,28,-0.18132531064514415,,,12.801962099998354,0.5461396207170583,17.281801876339294,109
0,29,0.5042226379471406,,,-34.272360500000964,-1.3224985409667316,37.482303907809154,126
0,30,0.6753657721700869,,,4.7336557999981155,0.2789144683657434,16.365641139276228,125
0,31,0.19476652616312104,,,12.985962399998453,0.5474624817642808,15.885301123899392,103
1,0,-0.47889194890767395,,,0.4949446999987117,0.12782890543356815,15.978095235913822,89
1,1,-0.5460391108505406,,,5.441950999998824,0.30330627389280695,20.09804306672645,92
1,2,0.08410635351085852,,,5.262517199997907,0.297103296082912,19.165284309062258,129
1,3,-0.041424436985091476,,,17.675941699998845,0.7239787961455754,22.93249107642554,81
1,4,0.019457934174213348,,,-14.790784200001383,-0.4193959119955214,26.417796841883188,94
1,5,-0.2883345354787991,,,-13.765397200001372,-0.3866506256912595,22.383419844950918,95
1,6,-0.6793255832086429,,,-6.800181000001338,-0.13796819487395953,24.27470086547937,94
1,7,-1.2449796482442788,,,13.375812799998199,0.5656068392431133,17.14139160815113,103
1,8,-0.28270479206213356,,,31.39273269999896,1.0812625648108525,21.047683588121696,84
1,9,0.05445149261859557,,,17.76091049999873,0.6990859607779115,16.476370613280285,95
1,10,-0.34622134562342455,,,3.4072960999987245,0.2363280579584105,17.031312837567317,96
1,11,-0.1605154401189436,,,21.194718799998636,0.8025709689523727,16.188809705234743,98
