fold,seed,return_pct,sharpe,max_dd_pct,n_trades
0,0,1.6189684999999843,0.6426167641339416,2.004678962449514,2
0,1,-15.37719830000116,-0.3943865878005497,35.916839703077365,106
0,2,-40.108717000000695,-2.3340057954463314,40.44556877390173,68
1,0,-5.770238700001141,-0.08667066752749378,25.74394227653874,89
1,1,-18.072935600001095,-0.5353925884662635,38.381693744617664,116
1,2,-13.93425480000131,-0.37139015256638136,35.94601469269169,110
2,0,-40.18230010000106,-2.106133196556808,46.3091402159761,95
2,1,-40.022404700000976,-2.0076349596187546,47.169955728621815,99
2,2,-40.12263570000086,-2.047955620704731,47.126324056892145,97
3,0,-0.0934296999998141,0.09032226957220975,24.861258136380737,70
3,1,-40.032038000000526,-2.6715558575244147,49.088264285813395,108
3,2,-40.066764700000846,-1.9017683730786603,49.11756002134344,134
