fold,return_pct,sharpe,max_dd_pct,n_trades
0,-19.112554200000766,-0.9404951315073001,27.953344633657796,63
1,-24.481449900001262,-0.8130574798755209,30.637835888791226,114
2,-22.775663700001292,-0.7675128479698681,37.37459530706001,119
3,-11.824597299999407,-0.5916093454288536,17.161585911877562,58
